,Unnamed: 0,tweet,created_at (after trading hours),Same day stock closing price,Next day stock open price,Daily change,polarity
62,62,"['devinwenig', 'gm', 'welcome', 'look', 'forward', 'perspectives', 'insight', 'work', 'achieve', 'world', 'zero', 'crash', 'zero', 'emission', 'zero', 'congestion']",2018-04-19 18:23:08+00:00,37.77,37.75,-0.05%,0.8
63,63,"['do', 'right', 'thing', 'even', 'hard', 'by', 'emulate', 'behavior', 'lead', 'trust', 'relationship', 'peer', 'vitally', 'important', 'succeed', 'read', 'workplace', 'advice', 'via', 'linkedin']",2018-03-26 17:00:13+00:00,35.99,36.02,0.08%,0.13134920634920635
64,64,"['for', 'century', 'gm', 'help', 'transform', 'world', 'move', 'move', 'fast', 'today', 'i', 'sit', 'danielyergin', 'discus', 'vision', 'future', 'zero', 'emission', 'electric', 'vehicle', 'strategy', 'get', 'u', 'ceraweek2018']",2018-03-07 21:13:38+00:00,37.74,37.64,-0.26%,0.1
65,65,"['this', 'great', 'accomplishment', 'i', 'proud', 'dedication', 'innovation', 'team', 'put', 'forth', 'contribute', 'gm', 'zero', 'waste', 'goal']",2018-03-05 18:00:05+00:00,37.74,38.02,0.74%,0.46666666666666673
66,66,"['congratulation', 'entire', 'thisisgmc', 'team', 'launch', '2019', 'gmcsierra', 'truck', 'workhorse', 'product', 'portfolio', '100', 'year', 'sierra', 'represent', 'new', 'generation', 'full', 'size', 'truck']",2018-03-01 21:23:49+00:00,37.79,37.47,-0.85%,0.1621212121212121
67,67,"['embrace', 'new', 'different', 'opportunity', 'opportunity', 'make', 'feel', 'little', 'uncomfortable', 'probably', 'right', 'track', 'read', 'advice', 'many', 'others', 'quartzatwork', 'howwellwin', 'series']",2018-02-07 19:20:12+00:00,42.39,42.46,0.17%,0.039096320346320344
68,68,"['my', 'gm', 'colleague', 'i', 'sit', 'share', 'holiday', 'wish', 'list', 'favorite', 'tradition', 'we', 'look', 'forward', 'excite', '2018', 'wish', 'family', 'safe', 'happy', 'holiday']",2017-12-18 17:53:15+00:00,42.15,42.71,1.33%,0.6
69,69,"['zero', 'crash', 'zero', 'emission', 'zero', 'congestion', 'gm', 'vision', 'come', 'fruition', 'right']",2017-11-29 18:38:26+00:00,43.81,44.0,0.43%,0.2857142857142857
70,70,"['give', 'core', 'gm', 'vision', 'world', 'we', 'can', 'not', 'advance', 'future', 'personal', 'mobility', 'without', 'consider', 'importance', 'social', 'mobility', 'heidi', 'magyar', 'share', 'give', 'drive', 'u', 'forward', 'every', 'day', 'givingtuesday']",2017-11-28 17:47:00+00:00,44.92,45.1,0.40%,0.011111111111111112
71,71,"['honor', 'accept', 'muriel', 'siebert', 'award', 'behalf', 'gm', 'commitment', 'gender', 'parity', 'boardroom', 'thank', 'womensforumny']",2017-11-14 21:11:56+00:00,43.0,42.73,-0.63%,0.0
72,72,"['yesterday', 'i', 'spend', '30', 'min', 'self', 'drive', 'bolt', 'ev', 'cruise', 'sf', 'thanks', 'cruise', 'team', 'experience', 'proud', 'progress']",2017-10-05 19:20:59+00:00,43.85,44.04,0.43%,0.5
73,73,"['humble', 'reading', 'time', 'firsts', 'how', 'encourage', 'first', 'woman', 'girl', 'sheisthefirst']",2017-09-07 17:43:08+00:00,36.91,36.8,-0.30%,0.024999999999999994
74,74,"['gm', 'unity', 'inclusion', 'i', 'we', 'must', 'reinforce', 'tolerance', 'diversity']",2017-08-16 19:36:03+00:00,35.75,35.61,-0.39%,0.0
75,75,"['we', 'spark', 'curiosity', 'creativity', 'stem', 'camp', 'gm', 'team', 'volunteer', 'last', 'week', 'detroit', 'cody', 'rouge', 'community']",2017-07-31 20:21:41+00:00,35.98,35.81,-0.47%,0.0
76,76,"['great', 'talk', 'stem', 'education', 'thank', 'come', 'gm', 'canadian', 'technical', 'centre', 'today']",2017-06-22 20:27:54+00:00,34.19,34.14,-0.15%,0.4
77,77,"['congrats', 'executive', 'chief', 'engineer', 'pam', 'fletcher', 'make', '7', 'we', 'proud', 'leadership', 'driving', 'future', 'mobility', 'gm']",2017-05-15 18:14:32+00:00,33.82,33.9,0.24%,0.4
78,78,"['professorbantz', 'gm', 'economicclubin', 'cicpindiana', 'diverse', 'leadership', 'one', 'key', 'success', 'thanks', 'join']",2017-05-11 18:24:53+00:00,34.11,33.94,-0.50%,0.16666666666666666
79,79,"['kimberlyeber', 'gm', 'i', 'honor', 'thank']",2017-05-04 22:59:15+00:00,33.15,33.3,0.45%,0.0
80,80,"['a', 'great', 'look', 'back', 'work', 'accomplish', 'come', 'together', 'iwd2017']",2017-03-08 21:30:55+00:00,37.27,37.33,0.16%,0.4
81,81,"['thanks', 'invite', 'familyreunion7', 'cavsdan', 'i', 'look', 'forward', 'continue', 'partnership', 'future', 'detroit', 'fr007']",2017-03-01 22:55:25+00:00,37.43,37.37,-0.16%,0.1
82,82,"['really', 'enjoy', 'talk', 'david', 'rubenstein', 'theeconomicclub', 'today', 'car', 'gm', 'female', 'leadership']",2017-02-28 19:53:44+00:00,36.84,37.2,0.98%,0.2
83,83,"['kireton', 'that', 'great', 'kirsten', 'we', 'look', 'forward', 'daughter', 'gm']",2017-02-23 22:15:52+00:00,37.25,36.87,-1.02%,0.8
84,84,"['drivemaven', 'one', 'example', 'game', 'change', 'technology', 'help', 'u', 'redefine', 'personal', 'mobility']",2017-02-22 18:17:04+00:00,37.84,37.94,0.26%,-0.2
85,85,"['in', 'experience', 'stem', 'degree', 'math', 'problem', 'solve', 'quality', 'take', 'far', 'career']",2017-02-13 18:55:58+00:00,35.52,36.72,3.38%,0.1
86,86,"['a', 'great', 'discussion', 'crackthecode']",2017-01-18 16:08:21+00:00,37.47,37.63,0.43%,0.8
